"output","parameter","coef","bias","stderr","CImin","CImax"
"R_0","gamma",0.0100020672499625,-0.00211622163621146,0.0128610049207702,-0.0195971079817863,0.0442920567783033
"R_0","prob_CT",-0.00858980997309258,0.00206364772663713,0.0156039764455419,-0.0440800260931567,0.0261958977652903
"R_0","CT_delay",-0.00283364836832433,-0.000632606692748992,0.0136863568840643,-0.0340366225675632,0.0311377659848909
"R_0","epsilon",0.000895974694332918,0.000334994718297948,0.0140298247911303,-0.0300488232425783,0.041983098598551
"R_0","riskprofile",0.0139525769840816,0.00192125863857219,0.0148107960811443,-0.0256856676904929,0.041986115708273
"R_0","R_0_mean",0.99572819818706,5.1609912562478e-06,0.000109631898542635,0.995430464599045,0.996052039210005
"R_0","dispersion",-0.0222074472137925,-0.000391663779648714,0.0149539124145915,-0.0677910141266869,0.0130463030459301
"R_0","T_inc_stretch",-0.0197353030626278,0.00227525292309327,0.0148879047021383,-0.0594157023544687,0.0272490823958118
"R_0","pi_t_triangle_center",-0.00198415992849746,-0.000377978435059489,0.0157791879374211,-0.0342413397375069,0.0490638774824242
"R_0","T_lat_offset",0.00435960019021368,-0.000159598275772912,0.0156709087378944,-0.0396455065951984,0.0358682113781091
"R_0","d_inf",-0.0069634534017736,0.000185155234614542,0.0154378604389565,-0.0466469801142182,0.0285716569659399
"R_hsb","gamma",-0.824501301382496,0.000127999577216653,0.00332572729647402,-0.833905498015917,-0.816734824163668
"R_hsb","prob_CT",0.0106271390248628,0.000146398922352168,0.0133033525192907,-0.021786488270427,0.037510745403927
"R_hsb","CT_delay",0.00156662204580106,-0.00510467048849333,0.0133649795021532,-0.0277184830376488,0.0364372853277
"R_hsb","epsilon",-0.00160857633508984,-0.000402382969611174,0.0143922016314605,-0.0409090856729766,0.0374169289808414
"R_hsb","riskprofile",-0.00513043323222093,0.0005005689060537,0.014604234441367,-0.0418698212364,0.033410210388279
"R_hsb","R_0_mean",0.963103416399616,-6.1061880613944e-05,0.00123238666410286,0.959729106317731,0.966510343857587
"R_hsb","dispersion",-0.00927089807432132,-0.004346076580706,0.014036027213143,-0.0365389562053945,0.029876645911892
"R_hsb","T_inc_stretch",0.00906302719234902,-0.0010061309547087,0.0131856686133154,-0.0193465166349381,0.0383422667913564
"R_hsb","pi_t_triangle_center",-0.446371382000775,-0.000403203436259436,0.0110204971219273,-0.478104799762114,-0.415352434958577
"R_hsb","T_lat_offset",-0.613933191910942,-0.000594988443486932,0.0083607607123605,-0.636896997502628,-0.59546870998531
"R_hsb","d_inf",0.0175464959734054,-0.000165776529566487,0.0153698368575621,-0.028230640517423,0.05863325309132
"R_s","gamma",-0.662532729974981,-4.55903550932168e-05,0.00756884896663121,-0.677638315066146,-0.642986716345464
"R_s","prob_CT",-0.675856813020842,0.000574799761808742,0.00641005113653542,-0.693977669000638,-0.662053988710023
"R_s","CT_delay",0.0200337228927002,0.000275703829081937,0.0152557968955313,-0.0173800610291859,0.051357319722798
"R_s","epsilon",0.282340137998581,0.000870727246251257,0.0118758937540694,0.252827441366446,0.312391012637336
"R_s","riskprofile",0.0051299428303426,-0.00104272435018768,0.0151082210353858,-0.0309539890420521,0.0430976595919016
"R_s","R_0_mean",0.947341267742119,-0.000278921654746411,0.00220147691462059,0.941565490465729,0.95270064785658
"R_s","dispersion",-0.0130718443915969,-0.00260476563599926,0.0137449159406175,-0.0378530113245018,0.0296004953368142
"R_s","T_inc_stretch",-0.0333366903470529,0.000891261287456514,0.0154061062935311,-0.0753309670603653,0.0175578873559595
"R_s","pi_t_triangle_center",-0.16240213359987,0.00261647277749213,0.0159909452469788,-0.210278225007167,-0.130291743500399
