"output","parameter","coef","bias","stderr","CImin","CImax"
"R_0","gamma",0.00792383961106477,-0.00034824222823152,0.0143293636288136,-0.0273772017915353,0.0444061773444181
"R_0","prob_CT",0.00235973728582081,0.000683053839424034,0.013262421917325,-0.0318694053713319,0.042283712485984
"R_0","CT_delay",0.00566240625072058,0.000463285661341678,0.0148986138802805,-0.0221630290172454,0.0519863347751984
"R_0","epsilon",-0.0104607626741499,-0.00023947482932728,0.0160180416776112,-0.0494383264588024,0.0384828235178766
"R_0","riskprofile",0.0126404910794059,0.00200885418618444,0.0135022855362294,-0.0305595532598642,0.0404498505709172
"R_0","R_0_mean",0.923171185075446,-4.50660160606908e-05,0.00237412852629531,0.916563424293954,0.930171661008506
"R_0","dispersion",-0.0183204192370279,-0.0022889164615693,0.0150364768242413,-0.0513476331394259,0.015328409588145
"R_0","T_inc_stretch",-0.0195730664910966,0.000779230672778363,0.0142630847148828,-0.0493653097791526,0.0144786565270375
"R_0","pi_t_triangle_center",-0.000294890287011163,-0.000106496428042369,0.0142135112308335,-0.0431349317321707,0.0395499343979742
"R_0","T_lat_offset",-0.00833834571518737,0.000827762490268052,0.014118022487924,-0.0388669334945178,0.0216379427388889
"R_0","d_inf",0.0104632971800762,-0.000938331033324916,0.0159390085276517,-0.0334027085004249,0.0474563902507092
"R_hsb","gamma",-0.60570605070275,-0.000453245183998696,0.00814233746271038,-0.626193656460081,-0.585137694331003
"R_hsb","prob_CT",0.0165338082766733,-0.000865428921955142,0.0143045116787761,-0.0209093334216245,0.048889202522633
"R_hsb","CT_delay",-0.0181072449195404,0.000401643466532219,0.0130826869259541,-0.0453566077701777,0.0207777087612811
"R_hsb","epsilon",0.0311760510580416,-0.000309779163955359,0.0146528675145614,-0.000148655876573006,0.0661607899833772
"R_hsb","riskprofile",-0.0041367570930386,-0.000676798447362422,0.0138374151320665,-0.0346465854185201,0.0281475611694326
"R_hsb","R_0_mean",0.915887967113131,0.000172812586838877,0.00245660554673563,0.909917018051101,0.920552567831915
"R_hsb","dispersion",-0.0531379154350706,-0.00150600086080833,0.0141062936506429,-0.0878492811218654,-0.0252522441011586
"R_hsb","T_inc_stretch",-0.00690220178493734,-0.000828379150754977,0.0144341236226404,-0.0449276685295673,0.0289112895834979
"R_hsb","pi_t_triangle_center",-0.128768173481864,-0.000745084273475416,0.0152435258605874,-0.173948445821604,-0.0874624211589074
"R_hsb","T_lat_offset",-0.127054301446952,-0.00133802537754896,0.0135206932700486,-0.158999998689128,-0.0923163111980557
"R_hsb","d_inf",0.00079023085167849,0.00224520123822712,0.0141990229114797,-0.0318250006945018,0.0314701384891444
"R_s","gamma",-0.404332043764795,0.000757210182030787,0.012441552461497,-0.440429800499288,-0.378758277695379
"R_s","prob_CT",-0.482522745377493,-0.000594241541032492,0.0116033759020613,-0.510310064110556,-0.456005940602273
"R_s","CT_delay",0.0623554651605669,0.00129308331679753,0.0136802736199733,0.0271506885384478,0.0981064831712915
"R_s","epsilon",0.137138783114314,0.000161390699068759,0.0143979168867181,0.103159538313605,0.173125263123862
"R_s","riskprofile",0.00602011714222683,0.000102851946165765,0.0130938399258608,-0.0262954337075059,0.0368014232273743
"R_s","R_0_mean",0.893945429381079,-0.000121191593943859,0.00283272529965731,0.887960592789089,0.900077647863783
"R_s","dispersion",-0.0277267902969437,0.000851417467184146,0.0146623885380582,-0.0652710862201308,0.0141430926727721
"R_s","T_inc_stretch",-0.0786930629856322,0.00109832944220188,0.0128353913070575,-0.107675502905188,-0.0439566531465078
"R_s","pi_t_triangle_center",-0.0765718473195096,-0.00113956228132707,0.0149305313697461,-0.117957501950371,-0.0389570843213238
"R_s","T_lat_offset",-0.0367689014890096,-0.00101710633200605,0.0119962843273097,-0.0707379365699447,-0.0056444760258281
"R_s","d_inf",-0.0426385617956025,-0.000155211682857793,0.012961730417842,-0.0702162470757444,-0.00716437768403116
"R_q","gamma",-0.469151050238599,-0.00186570244267775,0.0109691182911512,-0.489143447622955,-0.435752214800253
"R_q","prob_CT",-0.545802966046055,-4.33076798533882e-07,0.0104368928448005,-0.573693782324345,-0.523071810021119
"R_q","CT_delay",0.0903529883405053,0.000282993857604344,0.0137396430179968,0.0486747900618137,0.125546614431407
